index_full,i,j,index,rank_raw,time_raw,province,city,unit,rank_type,rank_n,time_public
1,1,1,1,高风险地区50个,截至北京时间 2022-04-04 17:11,天津,河北区,河北区月牙河街大江路菜老乐蔬菜店（含蓟县鸡蛋店）,高风险,50,2022-04-04T17:11:00Z
2,1,1,2,高风险地区50个,截至北京时间 2022-04-04 17:11,天津,河北区,月牙河街满江里,高风险,50,2022-04-04T17:11:00Z
3,1,1,3,高风险地区50个,截至北京时间 2022-04-04 17:11,天津,东丽区,金钟街春江里小区,高风险,50,2022-04-04T17:11:00Z
4,1,1,4,高风险地区50个,截至北京时间 2022-04-04 17:11,天津,东丽区,金钟街赵沽里新苑小区,高风险,50,2022-04-04T17:11:00Z
5,1,1,5,高风险地区50个,截至北京时间 2022-04-04 17:11,天津,北辰区,天穆镇辰美雅苑3号楼,高风险,50,2022-04-04T17:11:00Z
6,1,1,6,高风险地区50个,截至北京时间 2022-04-04 17:11,天津,静海区,朝阳街道瑞和道与月纬路交口清水湾洗浴,高风险,50,2022-04-04T17:11:00Z
7,1,1,7,高风险地区50个,截至北京时间 2022-04-04 17:11,天津,西青区,杨柳青镇锦绣欣居,高风险,50,2022-04-04T17:11:00Z
8,1,2,1,高风险地区50个,截至北京时间 2022-04-04 17:11,河北,唐山,高新技术开发区盛华世家仓储购物市场,高风险,50,2022-04-04T17:11:00Z
9,1,2,2,高风险地区50个,截至北京时间 2022-04-04 17:11,河北,廊坊,安次区葛渔城镇全域,高风险,50,2022-04-04T17:11:00Z
10,1,3,1,高风险地区50个,截至北京时间 2022-04-04 17:11,辽宁,营口,营口市鲅鱼圈区北大荒物流股份有限公司,高风险,50,2022-04-04T17:11:00Z
11,1,3,2,高风险地区50个,截至北京时间 2022-04-04 17:11,辽宁,沈阳,辽中区茨榆坨街道,高风险,50,2022-04-04T17:11:00Z
12,1,4,1,高风险地区50个,截至北京时间 2022-04-04 17:11,吉林,长春,九郊街道新州社区,高风险,50,2022-04-04T17:11:00Z
13,1,4,2,高风险地区50个,截至北京时间 2022-04-04 17:11,吉林,长春,青年路街道宇航社区,高风险,50,2022-04-04T17:11:00Z
14,1,4,3,高风险地区50个,截至北京时间 2022-04-04 17:11,吉林,长春,团山街道小南街社区,高风险,50,2022-04-04T17:11:00Z
15,1,4,4,高风险地区50个,截至北京时间 2022-04-04 17:11,吉林,吉林市,昌邑区桦皮厂镇桦皮厂社区,高风险,50,2022-04-04T17:11:00Z
16,1,4,5,高风险地区50个,截至北京时间 2022-04-04 17:11,吉林,吉林市,昌邑区延江街道江山帝景小区,高风险,50,2022-04-04T17:11:00Z
17,1,4,6,高风险地区50个,截至北京时间 2022-04-04 17:11,吉林,吉林市,经开区九站街道农校社区八委十组（九龙路以南、经开大街以东、翰林路以南）,高风险,50,2022-04-04T17:11:00Z
18,1,5,1,高风险地区50个,截至北京时间 2022-04-04 17:11,黑龙江,哈尔滨,五常市八家子乡全域,高风险,50,2022-04-04T17:11:00Z
